effectiveDate,id,firstName,lastName,prefix,managerId,country,line1,city,zipCode,lastHireDate,originalHireDate,active,absent,timeZone
2024-07-03,21045,Nada,Neuschäfer,null,null,DEU,Herrmannplatz 2,Bad Freienwalde,68523,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-07-12,21045,Nada,Neuschäfer,null,null,DEU,Herrmannplatz 2,Bad Freienwalde,68523,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-07-30,21045,Nada,Neuschäfer,null,null,DEU,Herrmannplatz 2,Bad Freienwalde,68523,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-07-31,21045,Nada,Neuschäfer,null,2572,DEU,Trommlerring 969,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-08-01,21045,Nada,Neuschäfer,null,2572,DEU,Trommlerring 969,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-08-19,21045,Nada,Neuschäfer,null,2572,DEU,Trommlerring 969,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-09-02,21045,Nada,Neuschäfer,null,2572,DEU,Ingeburg-Junk-Allee 1,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-10-01,21045,Nada,Neuschäfer,null,2572,DEU,Ingeburg-Junk-Allee 1,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-10-23,21045,Nada,Neuschäfer,null,2572,DEU,Ingeburg-Junk-Allee 1,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-11-26,21045,Nada,Neuschäfer,null,2572,DEU,Ingeburg-Junk-Allee 1,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
