,id,typeId,ous,last_check,firstName,lastName,prefix,managerId,lastHireDate,originalHireDate,active,timeZone,address,valid_from,valid_to
9,21045,Organisation,868,2025-04-25,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,nan,"Trommlerring 969 98186, Pirmasens, DEU",2024-07-31,2024-07-31
12,21045,Position,743,2025-04-25,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,nan,"Trommlerring 969 98186, Pirmasens, DEU",2024-07-31,2024-07-31
15,21045,Standort,413,2025-04-25,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,nan,"Trommlerring 969 98186, Pirmasens, DEU",2024-07-31,2024-07-31
10,21045,Organisation,868,2025-04-25,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Trommlerring 969 98186, Pirmasens, DEU",2024-08-01,2024-09-01
13,21045,Position,743,2025-04-25,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Trommlerring 969 98186, Pirmasens, DEU",2024-08-01,2024-09-01
16,21045,Standort,413,2025-04-25,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Trommlerring 969 98186, Pirmasens, DEU",2024-08-01,2024-09-01
11,21045,Organisation,868,2025-04-25,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ingeburg-Junk-Allee 1 98186, Pirmasens, DEU",2024-09-02,2025-06-17
14,21045,Position,743,2025-04-25,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ingeburg-Junk-Allee 1 98186, Pirmasens, DEU",2024-09-02,2025-06-17
17,21045,Standort,413,2025-04-25,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ingeburg-Junk-Allee 1 98186, Pirmasens, DEU",2024-09-02,2025-06-17
2,21045,Job-Familie,2708,2025-03-27,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ingeburg-Junk-Allee 1 98186, Pirmasens, DEU",2024-10-23,2025-03-31
